Date,Experiment Day,Treatment,Replicate,Nb of M,Nb of F,Nb of PF,Total Copepods
17/07/2025,16,SS+DM,4,8,6,4,18
17/07/2025,16,SS+DM,5,8,8,0,16
17/07/2025,16,SS+DM,6,5,9,0,14
18/07/2025,17,Control,1,6,0,3,9
18/07/2025,17,Control,2,9,2,8,19
18/07/2025,17,Control,3,10,5,4,19
18/07/2025,17,Control,4,10,3,6,19
18/07/2025,17,Control,5,5,2,1,8
18/07/2025,17,Control,6,9,2,8,19
18/07/2025,17,DM,1,4,1,4,9
18/07/2025,17,DM,2,8,4,4,16
18/07/2025,17,DM,3,10,6,3,19
18/07/2025,17,DM,4,7,2,4,13
18/07/2025,17,DM,5,10,4,6,20
18/07/2025,17,DM,6,10,1,7,18
18/07/2025,17,SS,1,7,7,2,16
18/07/2025,17,SS,2,3,6,2,11
18/07/2025,17,SS,3,9,6,3,18
18/07/2025,17,SS,4,3,8,0,11
18/07/2025,17,SS,5,7,8,2,17
18/07/2025,17,SS,6,5,5,3,13
18/07/2025,17,SS+DM,1,8,5,4,17
18/07/2025,17,SS+DM,2,1,1,3,5
18/07/2025,17,SS+DM,3,4,3,1,8
18/07/2025,17,SS+DM,4,5,7,3,15
18/07/2025,17,SS+DM,5,8,8,0,16
18/07/2025,17,SS+DM,6,5,9,0,14
21/07/2025,20,Control,1,6,0,3,9
21/07/2025,20,Control,2,9,4,5,18
21/07/2025,20,Control,3,10,2,7,19
21/07/2025,20,Control,4,10,5,4,19
21/07/2025,20,Control,5,5,0,2,7
21/07/2025,20,Control,6,9,5,5,19
21/07/2025,20,DM,1,4,1,4,9
21/07/2025,20,DM,2,7,1,4,12
21/07/2025,20,DM,3,10,6,3,19
21/07/2025,20,DM,4,5,1,4,10
21/07/2025,20,DM,5,9,4,6,19
21/07/2025,20,DM,6,10,3,5,18
21/07/2025,20,SS,1,4,7,1,12
21/07/2025,20,SS,2,2,7,0,9
21/07/2025,20,SS,3,4,8,1,13
21/07/2025,20,SS,4,1,4,0,5
21/07/2025,20,SS,5,3,8,0,11
21/07/2025,20,SS,6,3,6,0,9
21/07/2025,20,SS+DM,1,1,7,2,10
21/07/2025,20,SS+DM,2,0,0,1,1
21/07/2025,20,SS+DM,3,0,1,0,1
21/07/2025,20,SS+DM,4,0,0,0,0
21/07/2025,20,SS+DM,5,4,6,0,10
21/07/2025,20,SS+DM,6,0,3,0,3
